stationId,name,fileType,lat,lon,site,sources,download_url
703210,Dillingham.AP AK USA,Custom-703210,59.04614,-158.5065,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Dillingham.AP.703210_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Dillingham.AP.703210_TMYx.2004-2018.zip
703210,Dillingham.AP AK USA,TMYx,59.05,-158.517,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Dillingham.AP.703210_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Dillingham.AP.703210_TMYx.2007-2021.zip
703210,Dillingham.AP AK USA,TMYx,59.05,-158.517,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Dillingham.AP.703210_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Dillingham.AP.703210_TMYx.zip
703260,King.Salmon.AP AK USA,Custom-703260,58.67945,-156.6683,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_King.Salmon.AP.703260_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_King.Salmon.AP.703260_TMYx.2004-2018.zip
703260,King.Salmon.AP AK USA,TMYx,58.683,-156.656,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_King.Salmon.AP.703260_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_King.Salmon.AP.703260_TMYx.2007-2021.zip
703260,King.Salmon.AP AK USA,TMYx,58.683,-156.656,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_King.Salmon.AP.703260_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_King.Salmon.AP.703260_TMYx.zip
703330,Port.Heiden.AP AK USA,Custom-703330,56.959,-158.632,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Heiden.AP.703330_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Heiden.AP.703330_TMYx.2004-2018.zip
703330,Port.Heiden.AP AK USA,TMYx,56.959,-158.632,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Heiden.AP.703330_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Heiden.AP.703330_TMYx.2007-2021.zip
703330,Port.Heiden.AP AK USA,TMYx,56.959,-158.632,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Heiden.AP.703330_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Heiden.AP.703330_TMYx.zip
703333,Chignik.AP AK USA,Custom-703333,56.311,-158.373,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Chignik.AP.703333_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Chignik.AP.703333_TMYx.2004-2018.zip
703333,Chignik.AP AK USA,TMYx,56.311,-158.373,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Chignik.AP.703333_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Chignik.AP.703333_TMYx.2007-2021.zip
703333,Chignik.AP AK USA,TMYx,56.311,-158.373,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Chignik.AP.703333_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Chignik.AP.703333_TMYx.zip
703334,Egegik.AP AK USA,Custom-703334,58.185,-157.386,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Egegik.AP.703334_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Egegik.AP.703334_TMYx.2004-2018.zip
703334,Egegik.AP AK USA,TMYx,58.185,-157.386,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Egegik.AP.703334_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Egegik.AP.703334_TMYx.2007-2021.zip
703334,Egegik.AP AK USA,TMYx,58.185,-157.386,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Egegik.AP.703334_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Egegik.AP.703334_TMYx.zip
703400,Iliamna.AP AK USA,Custom-703400,59.75,-154.9167,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Iliamna.AP.703400_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Iliamna.AP.703400_TMYx.2004-2018.zip
703400,Iliamna.AP AK USA,TMYx,59.749,-154.909,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Iliamna.AP.703400_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Iliamna.AP.703400_TMYx.2007-2021.zip
703400,Iliamna.AP AK USA,TMYx,59.749,-154.909,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Iliamna.AP.703400_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Iliamna.AP.703400_TMYx.zip
703406,Port.Alsworth.AP AK USA,Custom-703406,60.204,-154.316,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.AP.703406_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.AP.703406_TMYx.2004-2018.zip
703406,Port.Alsworth.AP AK USA,TMYx,60.204,-154.316,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.AP.703406_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.AP.703406_TMYx.2007-2021.zip
703406,Port.Alsworth.AP AK USA,TMYx,60.204,-154.316,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.AP.703406_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.AP.703406_TMYx.zip
703407,Sleetmute.AP AK USA,Custom-703407,61.70324,-157.1654,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Sleetmute.AP.703407_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Sleetmute.AP.703407_TMYx.2004-2018.zip
703407,Sleetmute.AP AK USA,TMYx,61.717,-157.15,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Sleetmute.AP.703407_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Sleetmute.AP.703407_TMYx.2007-2021.zip
703407,Sleetmute.AP AK USA,TMYx,61.717,-157.15,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Sleetmute.AP.703407_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Sleetmute.AP.703407_TMYx.zip
703410,Homer.AP AK USA,Custom-703410,59.63334,-151.5,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Homer.AP.703410_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Homer.AP.703410_TMYx.2004-2018.zip
703410,Homer.AP AK USA,TMYx,59.642,-151.491,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Homer.AP.703410_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Homer.AP.703410_TMYx.2007-2021.zip
703410,Homer.AP AK USA,TMYx,59.642,-151.491,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Homer.AP.703410_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Homer.AP.703410_TMYx.zip
703420,Kenai.29.ENE AK USA,TMYx,60.724,-150.448,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Kenai.29.ENE.703420_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Kenai.29.ENE.703420_TMYx.2007-2021.zip
703420,Kenai.29.ENE AK USA,TMYx,60.724,-150.448,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Kenai.29.ENE.703420_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Kenai.29.ENE.703420_TMYx.zip
703430,Middleton.Island.AP AK USA,Custom-703430,59.43333,-146.3333,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Middleton.Island.AP.703430_TMYx.2004-2018.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Middleton.Island.AP.703430_TMYx.2004-2018.zip
703430,Middleton.Island.AP AK USA,TMYx,59.43333,-146.3333,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Middleton.Island.AP.703430_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Middleton.Island.AP.703430_TMYx.2007-2021.zip
703430,Middleton.Island.AP AK USA,TMYx,59.43333,-146.3333,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Middleton.Island.AP.703430_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Middleton.Island.AP.703430_TMYx.zip
703490,Port.Alsworth.1.SW AK USA,TMYx,60.195,-154.32,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.1.SW.703490_TMYx.2007-2021.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.1.SW.703490_TMYx.2007-2021.zip
703490,Port.Alsworth.1.SW AK USA,TMYx,60.195,-154.32,/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.1.SW.703490_TMYx.zip,onebuilding,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/AK_Alaska/USA_AK_Port.Alsworth.1.SW.703490_TMYx.zip
