climate_zone,standard,type,zone_wallU,zone_winU,zone_win_SHGC,zone_c_temp,zone_c_hum,zone_h_temp,zone_collingEER,zone_HeatingEER,zone_work_start,zone_work_end,zone_ppsm,zone_pfav,zone_popheat,zone_equipment,zone_lighting,zone_infiltration,zone_nightACH
climatezone3,GB/T51350-2019,RESIDENTIAL,0.35,1.8,0.4,26,0.4,18,2.5,2,0,23,0.0196,30,88,3.8,5,0.5,1
climatezone3,GB/T51350-2019,OFFICE,0.5,2.4,0.6,26,0.4,22,2.02,1.9,9,18,0.111,30,13.653,11.67,9,0.7,1
climatezone3,GB/T51350-2019,HOTEL,0.5,2.4,0.6,26,0.4,22,2.02,1.9,1,24,0.05,30,13.653,13,7,0.7,1
climatezone3,GB/T51350-2019,SCHOOL,0.5,2.4,0.6,26,0.4,22,2.02,1.9,9,18,0.8,30,13.653,5,9,0.7,1
climatezone3,GB/T51350-2019,COMMERCIAL,0.5,2.4,0.6,26,0.4,22,2.02,1.9,10,21,0.25,30,13.653,13,12,0.7,1
climatezone3,GB/T51350-2019,OPERA,0.5,2.4,0.6,26,0.4,22,2.02,1.9,10,21,1,30,13.653,0,11,0.7,1
climatezone3,GB/T51350-2019,HOSIPITAL,0.5,2.4,0.6,26,0.4,22,2.02,1.9,9,18,0.1,30,13.653,0,9,0.7,1
